brand,category,price,cat_avg,premium_pct
Twinings,Drinks,6.75,7.194803149606299,-6.182283800643509
Twinings,Pantry,6.75,2.83953488372093,137.7149877149877
Twix,Snacks,3.0,4.00984251968504,-25.184094256259215
Ultimate,Dairy & Eggs,6.0,4.79140625,25.224196967226487
Umami,Frozen,2.5,6.665748031496062,-62.49483196503455
V,Drinks,7.2,7.194803149606299,0.07223061264692647
V Energy,Drinks,7.2,7.194803149606299,0.07223061264692647
Vaalia,Dairy & Eggs,3.408333333333333,4.79140625,-28.865699222783842
Vanish,Household,10.9375,6.624045801526718,65.11812157879572
Vege Chips,Health & Wellness,5.33,7.783969465648855,-31.525939001667158
Vegemite,Pantry,7.95,2.83953488372093,179.97542997542996
Vevelle,Household,5.466666666666666,6.624045801526718,-17.472390281379056
Vitasoy,Dairy & Eggs,3.0,4.79140625,-37.387901516386755
Vitasoy,Drinks,2.8375,7.194803149606299,-60.561811893974216
Vitasoy,Pantry,3.0,2.83953488372093,5.651105651105652
Viva,Household,7.0,6.624045801526718,5.67559781042927
WOW,Frozen,4.0,6.665748031496062,-39.99173114405528
Weet-Bix,Health & Wellness,5.0,7.783969465648855,-35.765421202314414
Weet-Bix,Pantry,7.0,2.83953488372093,146.51924651924654
Western Star,Dairy & Eggs,7.3,4.79140625,52.35610631012556
Westgold,Dairy & Eggs,8.0,4.79140625,66.96559595630198
Whittaker's,Snacks,6.0,4.00984251968504,49.63181148748158
Who Gives A Crap,Household,10.5,6.624045801526718,58.51339671564391
Wicked Sister,Dairy & Eggs,3.3,4.79140625,-31.126691668025437
Wonder,Bakery,4.775,4.643089430894309,2.84100857993346
Woolworths,Bakery,3.821153846153846,4.643089430894309,-17.702342308365786
Woolworths,Dairy & Eggs,4.6075,4.79140625,-3.8382520789173267
Woolworths,Drinks,3.1685185185185185,7.194803149606299,-55.96101168255173
Woolworths,Frozen,5.71025641025641,6.665748031496062,-14.334349524237885
Woolworths,Fruit & Veg,4.280392156862745,3.7485365853658537,14.188352157832353
Woolworths,Health & Wellness,6.871428571428572,7.783969465648855,-11.723335995180655
Woolworths,Meat & Seafood,13.636470588235294,15.261705426356588,-10.649103705766418
Woolworths,Pantry,1.8223684210526316,2.83953488372093,-35.82158713737661
Woolworths,Snacks,1.83,4.00984251968504,-54.362297496318114
YoPRO,Dairy & Eggs,4.32,4.79140625,-9.83857818359692
Yoplait,Dairy & Eggs,5.333333333333333,4.79140625,11.310397304201317
Your Spud Co,Frozen,4.5,6.665748031496062,-32.49069753706218
a2 Milk,Dairy & Eggs,7.3,4.79140625,52.35610631012556
icare,Household,4.766666666666667,6.624045801526718,-28.039950062421976
